chrom	correlation	p-value
Tb427_01_v4	0.059125448254957275	0.053738113774224966
Tb427_02_v4	-0.05747986720969408	0.04696989776806119
Tb427_03_v4	-0.29025807922212254	1.7213694565839223e-33
Tb427_04_v4	-0.06335197363494087	0.01146195382358421
Tb427_05_v4	0.008850227907586175	0.7227058544413375
Tb427_06_v4	-0.03633100278645689	0.1438375638636154
Tb427_07_v4	0.03417649506349924	0.10846580708255334
Tb427_08_v4	-0.0015414826861341168	0.9388041277206604
Tb427_09_v4	-0.09316724447059266	2.4427347431079937e-07
Tb427_10_v5	-0.008904126287228076	0.5665294683512351
Tb427_11_01_v4	-0.029585996973729874	0.03685460976460254
All	-0.05712408903437133	5.764222577541136e-20
